percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.642
100,B2,solved,1,8,0,2,0.647
100,B3,solved,1,8,0,1,0.567
100,B4,solved,1,8,0,10,6.625
100,B5,solved,1,8,0,1,0.639
95,B1,solved,0.9277990199,7.745138863,0.03060676278,1,0.681
95,B2,solved,0.8571428545,7.698832591,0.0435714166,2,0.626
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.563
95,B4,solved,0.9770191627,7.816153302,1.301851893e-16,10,10.128
95,B5,solved,0.9414228984,7.531383463,1.632239463e-08,8,4.446
90,B1,solved,0.8723868079,7.531165396,0.04742876909,1,0.682
90,B2,solved,0.8546809244,7.533352479,0.04676497935,2,0.617
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.574
90,B4,solved,0.9540393255,7.632314604,3.488821756e-16,10,9.925
90,B5,solved,0.9143136484,7.314509187,1.778079336e-12,8,4.56
85,B1,solved,0.8318253755,7.491850449,0.05858875823,1,0.717
85,B2,solved,0.7798722363,7.371697794,0.08140266641,2,0.658
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.567
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,9.767
85,B5,solved,0.8949324621,7.159459698,4.016913069e-11,8,4.552
80,B1,solved,0.8515786142,7.2277704,0.04482528467,1,0.721
80,B2,solved,0.7965991882,7.17167768,0.063284975,2,0.619
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.593
80,B4,solved,0.908079651,7.26464199,1.581699153e-06,10,9.891
80,B5,solved,0.8911126345,7.12890109,1.674304216e-09,8,4.611
75,B1,solved,0.7905309871,7.120456677,0.05496502503,1,0.678
75,B2,solved,0.7965991882,7.038523227,0.07457313217,2,0.623
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,0.579
75,B4,solved,0.8850998137,7.080803292,1.581699154e-06,10,10.424
75,B5,solved,0.8649197499,6.919358065,5.537276365e-09,8,4.486
70,B1,solved,0.7852971745,6.905649348,0.05894085957,1,0.66
70,B2,solved,0.7807337281,6.764538769,0.07562643902,2,0.645
70,B3,solved,0.5279888268,7.422667483,0.1550092855,1,0.563
70,B4,solved,0.8621199764,6.896964594,1.581699153e-06,10,10.634
70,B5,solved,0.8513215541,6.810572466,2.540652142e-09,8,4.583
65,B1,solved,0.6941281139,6.774723758,0.07750574456,1,0.682
65,B2,solved,0.719617014,6.699228815,0.1119408057,2,0.627
65,B3,solved,0.5279888268,7.312763913,0.1620492329,1,0.574
65,B4,solved,0.8391401392,6.713125896,1.581699152e-06,10,11.049
65,B5,solved,0.8375171428,6.700137182,4.49351713e-09,8,4.889
60,B1,solved,0.6852611099,6.531194411,0.090425109,1,0.842
60,B2,solved,0.6525058728,6.452853101,0.1382522292,2,0.634
60,B3,solved,0.5287790801,7.18732174,0.1649785268,1,0.763
60,B4,solved,0.8161603019,6.529287198,1.581699154e-06,10,13.472
60,B5,solved,0.815853035,6.52682428,3.745727618e-12,8,4.8
55,B1,solved,0.6681338437,6.380896306,0.09859892904,1,0.859
55,B2,solved,0.6166056913,6.300121927,0.1436918344,2,0.769
55,B3,solved,0.5292379215,7.04803142,0.166216185,1,0.628
55,B4,solved,0.7926121047,6.343557994,0.0008800946995,12,13.442
55,B5,solved,0.7924003859,6.345932511,0.0005992046765,54,33.678
50,B1,solved,0.5994098721,6.182816304,0.1368597252,1,0.734
50,B2,solved,0.5994098721,6.085656843,0.1356249771,2,0.699
50,B3,solved,0.5292379215,6.817573825,0.1665418169,1,0.591
50,B4,solved,0.7106241067,6.072086769,0.06909607255,19,16.669
50,B5,solved,0.693706422,6.14270878,0.05041788066,33,20.254
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
