percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.561
100,B2,solved,1,8,0,2,0.569
100,B3,solved,1,8,0,1,0.509
100,B4,solved,1,8,0,10,5.739
100,B5,solved,1,8,0,1,0.539
95,B1,solved,0.8723868318,7.74144376,0.04182544549,1,0.589
95,B2,solved,0.8575918923,7.671955288,0.04514530548,2,0.571
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.526
95,B4,solved,0.9770191627,7.816153302,2.98936698e-16,10,8.738
95,B5,solved,0.9143498371,7.314798697,1.184486936e-11,8,4.612
90,B1,solved,0.7317126713,7.392635337,0.08744676446,1,0.599
90,B2,solved,0.7317126759,7.32529176,0.08611880689,2,0.552
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.506
90,B4,solved,0.9540393255,7.632314604,1.038518545e-16,10,8.576
90,B5,solved,0.8775932719,7.020746255,6.172939969e-09,8,4.147
85,B1,solved,0.8009582233,7.221379648,0.07278152297,1,0.609
85,B2,solved,0.6602942902,7.055198563,0.1063603987,2,0.552
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.507
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,8.614
85,B5,solved,0.8820677933,7.056542388,4.059418299e-09,8,4.08
80,B1,solved,0.6411924497,7.208933788,0.1160780191,1,0.586
80,B2,solved,0.6709301844,6.944640971,0.1149655945,2,0.562
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.506
80,B4,solved,0.908079651,7.26464199,1.581699154e-06,10,8.588
80,B5,solved,0.8612809987,6.890248079,6.223654863e-09,8,4.175
75,B1,solved,0.6241590129,6.945124388,0.1087789414,1,0.606
75,B2,solved,0.6735368575,6.67369143,0.1045081714,2,0.558
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,0.506
75,B4,solved,0.8850998137,7.080803292,1.581699153e-06,10,8.876
75,B5,solved,0.8557103945,6.84568316,3.083127071e-10,8,4.19
70,B1,solved,0.6130843569,6.812526614,0.1068805476,1,0.644
70,B2,solved,0.5997645722,6.537307272,0.1205528347,2,0.56
70,B3,solved,0.5279888268,7.422667483,0.1550092855,1,0.512
70,B4,solved,0.8621199764,6.896964594,1.581699171e-06,10,8.653
70,B5,solved,0.8548286973,6.838629578,1.282141949e-12,8,4.127
65,B1,solved,0.700701601,6.784932606,0.09697836424,1,0.589
65,B2,solved,0.6864226939,6.507393728,0.101937128,2,0.556
65,B3,solved,0.5287792708,7.294241758,0.1538788226,1,0.508
65,B4,solved,0.8391401392,6.713125896,1.581699153e-06,10,8.98
65,B5,solved,0.839129234,6.713033914,3.686345315e-09,8,4.159
60,B1,solved,0.5997857788,6.592741183,0.1138213915,1,0.58
60,B2,solved,0.6056190091,6.304752579,0.1344615267,2,0.556
60,B3,solved,0.5287792708,7.156308746,0.1596584367,1,0.511
60,B4,solved,0.8161603019,6.529287198,1.581699154e-06,10,9.322
60,B5,solved,0.8161531315,6.529225066,1.538079632e-09,10,5.165
55,B1,solved,0.6002056583,6.479709044,0.1186473496,1,0.599
55,B2,solved,0.6109110837,6.225863628,0.1437125968,2,0.563
55,B3,solved,0.5287877931,7.013243611,0.1592726207,1,0.504
55,B4,solved,0.7824972955,6.311076564,0.01689914136,10,9.563
55,B5,solved,0.7796732822,6.358560205,0.01108814861,46,24.807
50,B1,solved,0.5994098721,6.143737522,0.1352322499,1,0.603
50,B2,solved,0.5994098721,6.228687686,0.1388901618,2,0.554
50,B3,solved,0.5299824794,6.768044814,0.1753952597,1,0.51
50,B4,solved,0.6915476274,6.013757811,0.07983261042,10,8.401
50,B5,solved,0.6722897836,6.14351455,0.06911941244,32,17.056
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
